X,Y,Z,EDA,HR,TEMP,id,datetime,label
-60.0,-3.0,23.0,0.283089,78.5,29.29,5C,2020-06-23 18:01:42.906249984,1.0
27.0,56.0,21.0,0.229289,68.72,28.49,5C,2020-06-23 18:37:57.249999872,0.0
-32.0,-4.0,55.0,0.318994,75.02,30.35,5C,2020-05-08 22:11:17.937499904,1.0
-64.0,0.0,-10.0,0.083266,80.45,29.57,5C,2020-06-24 14:57:52.312499968,2.0
-12.0,-56.0,127.0,14.891255,106.33,35.53,5C,2020-04-14 22:47:57.656250112,1.0
-60.0,-13.0,127.0,5.670308,108.08,35.83,5C,2020-04-14 22:55:56.249999872,1.0
50.0,-29.0,127.0,18.064615,97.68,36.43,5C,2020-04-14 22:45:00.062500096,1.0
-37.0,-47.0,-6.0,0.482047,97.18,32.09,15,2020-07-21 16:23:31.187500032,2.0
-74.0,-3.0,127.0,7.895481,110.52,35.25,5C,2020-04-14 22:54:05.093750016,1.0
-28.0,4.0,57.0,0.263875,75.33,28.63,5C,2020-06-23 18:52:44.468750080,0.0
-22.0,-4.0,59.0,0.457297,85.32,28.63,5C,2020-06-23 17:52:39.687500032,1.0
-62.0,1.0,25.0,3.328819,84.1,34.25,15,2020-07-21 13:29:48.375000064,0.0
51.0,-31.0,127.0,16.618637,105.2,35.95,5C,2020-04-14 22:45:59.093750016,1.0
-25.0,6.0,59.0,0.239537,69.18,28.49,5C,2020-06-23 20:08:19.906249984,0.0
-38.0,18.0,8.0,4.764933,95.73,31.55,15,2020-07-08 14:08:40.437499904,2.0
-55.0,-22.0,-23.0,0.27928,79.87,30.73,5C,2020-05-08 22:19:59.000000000,1.0
-31.0,-14.0,53.0,0.494445,66.87,28.59,5C,2020-06-23 20:50:17.093750016,0.0
17.0,61.0,9.0,0.335608,70.93,29.23,5C,2020-06-23 18:03:30.718749952,1.0
-58.0,12.0,15.0,0.145022,93.53,30.05,5C,2020-06-24 14:15:52.687500032,2.0
-60.0,-18.0,-18.0,0.295898,98.32,28.61,5C,2020-06-23 20:11:11.562500096,0.0
-64.0,6.0,0.0,3.593871,74.63,34.18,15,2020-07-22 21:16:43.968750080,2.0
17.0,60.0,11.0,0.320236,74.05,29.25,5C,2020-06-23 18:04:03.000000000,1.0
-36.0,13.0,51.0,0.448331,93.07,28.51,5C,2020-06-23 20:31:13.500000000,0.0
-23.0,12.0,58.0,0.408622,67.58,28.97,5C,2020-06-23 19:05:46.906249984,0.0
-22.0,-44.0,127.0,20.386705,80.15,36.55,5C,2020-04-14 22:38:04.531249920,1.0
-22.0,-59.0,-9.0,0.185759,80.03,30.63,5C,2020-05-08 22:17:32.343749888,1.0
-18.0,-2.0,61.0,0.349698,77.98,28.97,5C,2020-06-23 19:01:59.343749888,0.0
2.0,57.0,28.0,0.101201,76.85,28.25,5C,2020-06-24 15:35:32.531249920,2.0
-63.0,14.0,1.0,0.096077,79.9,28.25,5C,2020-06-24 15:36:20.312499968,2.0
-28.0,11.0,57.0,0.39325,68.18,28.97,5C,2020-06-23 19:05:49.812499968,0.0
-30.0,5.0,55.0,0.470515,97.1,32.09,15,2020-07-21 16:23:28.968750080,2.0
-4.0,-22.0,59.0,0.139898,111.08,30.19,5C,2020-06-24 14:07:58.468750080,2.0
-35.0,9.0,50.0,0.139898,94.08,29.81,5C,2020-06-24 14:21:12.124999936,2.0
16.0,59.0,20.0,0.227008,86.88,29.43,5C,2020-06-24 14:41:12.750000128,2.0
-38.0,-42.0,127.0,9.861896,81.23,35.05,5C,2020-04-14 22:51:09.718749952,1.0
-14.0,-61.0,0.0,0.222911,86.35,30.67,5C,2020-05-08 22:18:51.468750080,1.0
-22.0,-43.0,127.0,19.840361,78.33,36.53,5C,2020-04-14 22:40:20.312499968,1.0
-32.0,27.0,34.0,0.394531,101.87,29.01,5C,2020-06-23 19:28:03.249999872,0.0
-35.0,-9.0,53.0,3.082574,80.13,33.81,15,2020-07-08 13:47:20.843749888,2.0
-19.0,7.0,62.0,0.25747,67.95,28.79,5C,2020-06-23 20:07:06.437499904,0.0
-30.0,13.0,55.0,0.320236,71.97,29.27,5C,2020-06-23 18:06:52.562500096,1.0
-60.0,22.0,-10.0,0.496142,66.35,31.91,15,2020-07-21 16:36:06.249999872,2.0
-22.0,-43.0,127.0,19.488813,78.42,36.53,5C,2020-04-14 22:40:37.593750016,1.0
-72.0,-8.0,15.0,0.175767,86.93,29.81,5C,2020-06-24 14:22:33.281250048,2.0
2.0,56.0,31.0,0.279246,81.08,28.65,5C,2020-06-23 20:21:41.812499968,0.0
-8.0,-58.0,23.0,0.284387,103.55,30.83,5C,2020-06-24 14:01:42.718749952,2.0
-60.0,-3.0,24.0,0.285651,78.82,29.29,5C,2020-06-23 18:01:37.000000000,1.0
-29.0,12.0,54.0,0.322798,71.83,29.27,5C,2020-06-23 18:06:51.500000000,1.0
